system:index,LST_day,NDVI,date,fire_label,precip_m,temp_2m,u_wind_10m,v_wind_10m,.geo
100,26.881481147787156,,2024-04-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,26.958523744202783,,2024-04-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,,,2024-04-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,,2024-04-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,16.93476398995431,,2024-04-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,,,2024-04-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,,2024-04-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,14.256126031978292,,2024-04-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,29.336467362462425,,2024-04-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,,,2024-04-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,,,2024-04-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,27.40706648675571,,2024-04-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,,0.7463581645771546,2024-04-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,30.48338742496695,,2024-04-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,,,2024-04-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,32.58551237017012,,2024-04-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,30.690448813525077,,2024-04-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,29.445062351543974,,2024-04-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,30.787180005559655,,2024-04-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,,,2024-04-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,27.77201362229106,,2024-04-30,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,24.367355877778355,,2024-05-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,,,2024-05-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,,,2024-05-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,,,2024-05-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,26.693180050055815,,2024-05-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,25.923472710745813,,2024-05-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,31.434139142301188,,2024-05-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,28.737811415853926,0.5601735871704245,2024-05-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,,,2024-05-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,,,2024-05-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,,,2024-05-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,,,2024-05-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,,,2024-05-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,,,2024-05-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,,,2024-05-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,,,2024-05-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,,,2024-05-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,,,2024-05-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,,,2024-05-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,,,2024-05-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,24.426286135358822,,2024-05-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,,,2024-05-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,,,2024-05-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,,0.4998546969022147,2024-05-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,,,2024-05-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,,,2024-05-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,,,2024-05-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,,,2024-05-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,,,2024-05-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,,,2024-05-30,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,,,2024-05-31,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,,,2024-06-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,,,2024-06-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,,,2024-06-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,,,2024-06-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,,,2024-06-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,22.96511343439624,,2024-06-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,,,2024-06-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,,,2024-06-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,,0.5908122688980079,2024-06-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,23.290803178999376,,2024-06-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,,,2024-06-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,,,2024-06-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
