latitude,longitude,brightness,scan,track,acq_date,acq_time,confidence,version,timestamp
34.12641,95.79493,323.14,1.59,1.24,2025-08-11,741,76,6.1NRT,2025-08-11 07:41:00
6.70564,80.86484,313.85,1.15,1.07,2025-08-11,911,58,6.1NRT,2025-08-11 09:11:00
8.08546,80.08604,311.74,1.22,1.1,2025-08-11,913,49,6.1NRT,2025-08-11 09:13:00
8.54041,80.71215,319.01,1.12,1.05,2025-08-11,913,39,6.1NRT,2025-08-11 09:13:00
8.53893,80.70233,318.09,1.12,1.05,2025-08-11,913,0,6.1NRT,2025-08-11 09:13:00
8.81275,81.04488,319.23,1.07,1.03,2025-08-11,913,64,6.1NRT,2025-08-11 09:13:00
22.26334,72.69958,312.4,2.25,1.45,2025-08-11,917,0,6.1NRT,2025-08-11 09:17:00
21.92515,83.34787,305.59,1.06,1.03,2025-08-11,1524,32,6.1NRT,2025-08-11 15:24:00
23.90753,85.09327,304.22,1.01,1.0,2025-08-11,1524,59,6.1NRT,2025-08-11 15:24:00
24.1563,82.56848,305.72,1.08,1.04,2025-08-11,1524,65,6.1NRT,2025-08-11 15:24:00
17.61135,83.20367,305.83,1.0,1.0,2025-08-11,2125,66,6.1NRT,2025-08-11 21:25:00
23.16946,82.34233,306.1,1.17,1.07,2025-08-11,2125,67,6.1NRT,2025-08-11 21:25:00
22.37049,87.30273,303.87,1.17,1.08,2025-08-11,2125,56,6.1NRT,2025-08-11 21:25:00
22.21624,84.87283,301.06,1.0,1.0,2025-08-11,2125,37,6.1NRT,2025-08-11 21:25:00
21.92361,83.35528,306.91,1.04,1.02,2025-08-11,2125,70,6.1NRT,2025-08-11 21:25:00
21.77055,84.01968,305.27,1.01,1.0,2025-08-11,2125,59,6.1NRT,2025-08-11 21:25:00
21.07916,85.04552,305.64,1.01,1.0,2025-08-11,2125,61,6.1NRT,2025-08-11 21:25:00
20.79829,85.25576,305.65,1.02,1.01,2025-08-11,2125,63,6.1NRT,2025-08-11 21:25:00
20.76254,85.30135,303.24,1.02,1.01,2025-08-11,2125,54,6.1NRT,2025-08-11 21:25:00
28.59042,90.57578,303.18,1.0,1.0,2025-08-12,330,39,6.1NRT,2025-08-12 03:30:00
34.12954,95.8034,319.17,1.22,1.1,2025-08-12,330,66,6.1NRT,2025-08-12 03:30:00
34.52346,87.68915,309.73,1.49,1.21,2025-08-12,330,66,6.1NRT,2025-08-12 03:30:00
34.52187,87.70441,308.77,1.49,1.21,2025-08-12,330,65,6.1NRT,2025-08-12 03:30:00
29.63411,91.23532,317.61,1.05,1.02,2025-08-12,820,29,6.1NRT,2025-08-12 08:20:00
22.75193,69.55801,317.52,1.0,1.0,2025-08-12,956,55,6.1NRT,2025-08-12 09:56:00
29.28159,88.87949,312.86,2.37,1.49,2025-08-13,408,24,6.1NRT,2025-08-13 04:08:00
8.01156,80.28553,310.87,2.91,1.63,2025-08-13,852,44,6.1NRT,2025-08-13 08:52:00
8.01467,80.28033,311.42,2.91,1.63,2025-08-13,852,49,6.1NRT,2025-08-13 08:52:00
