latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.18909,79.57212,331.36,0.53,0.67,2025-04-10,0706,N20,VIIRS,n,2,294.9,3.58,D,0
18.52061,81.21758,337.43,0.41,0.6,2025-04-10,0706,N20,VIIRS,n,2,297.17,6.14,D,0
18.54483,81.3037,345.02,0.4,0.6,2025-04-10,0706,N20,VIIRS,n,2,297.45,2.72,D,0
18.56366,81.31216,331.43,0.4,0.6,2025-04-10,0706,N20,VIIRS,n,2,297.95,2.26,D,0
18.3627,80.01839,331.21,0.49,0.65,2025-04-10,0706,N20,VIIRS,n,2,297.4,3.14,D,0
19.01332,82.79433,338.81,0.63,0.54,2025-04-10,0706,N20,VIIRS,n,2,301.64,5.2,D,0
17.79793,77.14874,330.43,0.77,0.78,2025-04-10,0706,N20,VIIRS,n,2,296.48,6.69,D,0
19.06637,82.85575,343.89,0.62,0.54,2025-04-10,0706,N20,VIIRS,n,2,303.02,6.77,D,0
19.0355,82.6496,341.43,0.32,0.55,2025-04-10,0706,N20,VIIRS,n,2,300.11,2.97,D,0
19.0349,82.64662,336.43,0.32,0.55,2025-04-10,0706,N20,VIIRS,n,2,302.99,3.76,D,0
19.33287,84.10005,343.25,0.51,0.49,2025-04-10,0706,N20,VIIRS,n,2,303.6,15.11,D,0
19.32979,84.09799,342.44,0.51,0.49,2025-04-10,0706,N20,VIIRS,n,2,304.17,11.02,D,0
19.34749,83.95029,333.8,0.52,0.5,2025-04-10,0706,N20,VIIRS,n,2,301.2,3.35,D,0
19.16013,82.88151,349.23,0.62,0.54,2025-04-10,0706,N20,VIIRS,n,2,301.82,14.4,D,0
19.32359,83.68252,351.03,0.54,0.51,2025-04-10,0706,N20,VIIRS,n,2,302.12,32.9,D,0
19.34221,83.65528,352.46,0.54,0.51,2025-04-10,0706,N20,VIIRS,n,2,299.55,27.71,D,0
19.38665,83.73861,346.68,0.54,0.5,2025-04-10,0706,N20,VIIRS,n,2,299.94,8.63,D,0
19.28752,83.12163,349.01,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,298.38,14.8,D,0
19.6944,85.11978,332.53,0.43,0.46,2025-04-10,0706,N20,VIIRS,l,2,303.1,3.24,D,0
19.45691,83.70825,345.7,0.54,0.51,2025-04-10,0706,N20,VIIRS,n,2,299.21,7.36,D,0
19.60184,84.44064,341.17,0.48,0.48,2025-04-10,0706,N20,VIIRS,n,2,302.44,5.55,D,0
19.33531,83.03661,334.82,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,301.76,5.94,D,0
18.89641,80.8522,343,0.42,0.61,2025-04-10,0706,N20,VIIRS,n,2,303.15,4.01,D,0
19.35759,83.04849,352.06,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,304.47,50.29,D,0
19.3341,83.03476,337.7,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,302.67,4.02,D,0
19.35651,83.04672,354.3,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,300.89,32.17,D,0
18.89509,80.85286,344.85,0.42,0.61,2025-04-10,0706,N20,VIIRS,n,2,302.86,3.1,D,0
19.37028,83.09,334.16,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,299.42,13.32,D,0
19.36124,83.04544,354.29,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,298.55,24.75,D,0
19.359,83.03446,350.33,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,299.79,11.27,D,0
19.37895,83.05904,341.1,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,297.38,17.92,D,0
19.37781,83.05341,336.73,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,308.58,26.96,D,0
19.37664,83.04763,349.85,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,302.65,26.96,D,0
19.38373,83.05807,341.59,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,300.12,16.52,D,0
19.38258,83.05238,337.92,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,303.63,23.86,D,0
19.39947,83.0372,340.02,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,302.75,5.66,D,0
19.41426,83.08627,347.22,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,301.71,11.02,D,0
19.65545,84.22167,334.69,0.49,0.49,2025-04-10,0706,N20,VIIRS,n,2,296.03,2.61,D,0
19.55319,83.66755,341.84,0.54,0.51,2025-04-10,0706,N20,VIIRS,n,2,300.64,5.55,D,0
18.84894,80.22842,333.21,0.46,0.64,2025-04-10,0706,N20,VIIRS,n,2,301.66,2.82,D,0
19.43493,83.0401,336.79,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,298.99,7.74,D,0
19.4064,82.84551,330.41,0.61,0.54,2025-04-10,0706,N20,VIIRS,l,2,301.5,7.95,D,0
19.45791,83.00499,334.21,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,301.33,6.94,D,0
19.40423,82.84377,336.17,0.61,0.54,2025-04-10,0706,N20,VIIRS,n,2,301.27,3.89,D,0
18.84928,80.22828,334.18,0.46,0.64,2025-04-10,0706,N20,VIIRS,n,2,301.74,3.64,D,0
19.45799,83.00806,336.25,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,302.13,4.52,D,0
19.48914,83.11248,347.44,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,293.22,11.41,D,0
19.48803,83.10699,347.52,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,298.19,11.41,D,0
19.66324,83.91337,343.93,0.52,0.5,2025-04-10,0706,N20,VIIRS,n,2,302.75,11.54,D,0
19.4759,82.89874,335.95,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,303.37,5.55,D,0
19.83387,84.70213,332.87,0.46,0.47,2025-04-10,0706,N20,VIIRS,l,2,303.92,2.4,D,0
19.51934,83.0654,335.74,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,299.64,3.41,D,0
19.50195,82.9285,334.28,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,300.66,2.82,D,0
19.53267,83.03252,345.87,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,303.02,10.04,D,0
19.54448,83.04195,341.15,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,300.25,8.76,D,0
19.54338,83.03642,341.27,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,301.88,8.76,D,0
19.71408,83.8858,342.17,0.52,0.5,2025-04-10,0706,N20,VIIRS,n,2,301.63,7.41,D,0
19.57807,83.03764,341.49,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,301.39,41.57,D,0
19.57696,83.03217,342.66,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,308.64,41.57,D,0
19.50343,82.64767,343.72,0.63,0.54,2025-04-10,0706,N20,VIIRS,n,2,301.43,10.95,D,0
18.90644,79.85904,330.58,0.49,0.65,2025-04-10,0706,N20,VIIRS,l,2,302.35,3.76,D,0
