system:index,confidence,date,.geo
2024191,-9999,2024-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024192,-9999,2024-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024193,-9999,2024-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024194,-9999,2024-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024195,-9999,2024-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024196,-9999,2024-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024197,-9999,2024-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024198,-9999,2024-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024199,-9999,2024-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024200,-9999,2024-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024201,-9999,2024-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024202,-9999,2024-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024203,-9999,2024-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024204,-9999,2024-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024205,-9999,2024-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024206,-9999,2024-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024207,-9999,2024-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024208,-9999,2024-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024209,-9999,2024-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024210,-9999,2024-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024211,-9999,2024-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024212,-9999,2024-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024213,-9999,2024-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024214,-9999,2024-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024215,-9999,2024-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024216,-9999,2024-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024217,-9999,2024-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024218,-9999,2024-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024219,-9999,2024-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024220,-9999,2024-08-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024221,-9999,2024-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024222,-9999,2024-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024223,-9999,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024224,-9999,2024-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024225,-9999,2024-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024226,-9999,2024-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024227,-9999,2024-08-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024228,-9999,2024-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024229,-9999,2024-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024230,-9999,2024-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024231,-9999,2024-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024232,-9999,2024-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024233,-9999,2024-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024234,-9999,2024-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024235,-9999,2024-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024236,-9999,2024-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024237,-9999,2024-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024238,-9999,2024-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024239,-9999,2024-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
