valid_time,latitude,longitude,2m_temperature_c,2m_dewpoint_temperature_c,relative_humidity_percent,wind_speed_kmh,total_precipitation_mm
2025-07-26 00:00:00,11.600000000000001,76.29999999999993,19.41275,19.233063,98.88803,9.065597,21.443098
2025-07-26 00:00:00,11.600000000000001,76.39999999999992,19.207672,18.842438,97.74773,10.280161,16.9183
2025-07-26 00:00:00,11.600000000000001,76.49999999999991,19.178375,18.535797,96.06644,11.705947,12.835979
2025-07-26 00:00:00,11.600000000000001,76.59999999999991,20.084625,18.942047,93.14618,11.66232,10.798782
2025-07-26 00:00:00,11.600000000000001,76.6999999999999,20.867828,19.229156,90.35585,12.024846,8.693308
2025-07-26 00:00:00,11.600000000000001,76.7999999999999,20.963531,19.21939,89.77115,11.171755,5.1687956
2025-07-26 00:00:00,11.600000000000001,76.89999999999989,21.0065,19.113922,88.94802,8.841987,5.5467787
2025-07-26 00:00:00,11.600000000000001,77.0,21.070953,18.830719,87.044716,6.820632,4.8798323
2025-07-26 00:00:00,11.500000000000002,75.59999999999997,24.467438,23.643219,95.17146,16.822155,44.26813
2025-07-26 00:00:00,11.500000000000002,75.69999999999996,24.592438,23.914703,96.01804,13.987921,46.2853
2025-07-26 00:00:00,11.500000000000002,75.79999999999995,24.477203,24.016266,97.27412,9.241605,48.96733
2025-07-26 00:00:00,11.500000000000002,75.89999999999995,23.401031,23.00064,97.60945,7.1172132,49.423904
2025-07-26 00:00:00,11.500000000000002,75.99999999999994,21.549469,21.180328,97.76356,7.2015276,42.274982
2025-07-26 00:00:00,11.500000000000002,76.09999999999994,19.75064,19.502594,98.47177,6.88987,35.30121
2025-07-26 00:00:00,11.500000000000002,76.19999999999993,19.66275,19.555328,99.33519,6.442096,33.16915
2025-07-26 00:00:00,11.500000000000002,76.29999999999993,20.633453,20.535797,99.39988,6.7671313,28.642506
2025-07-26 00:00:00,11.500000000000002,76.39999999999992,19.901031,19.717438,98.86817,7.8363056,23.500025
2025-07-26 00:00:00,11.500000000000002,76.49999999999991,18.174469,17.75064,97.37013,9.249977,19.323051
2025-07-26 00:00:00,11.500000000000002,76.59999999999991,17.397125,16.465485,94.26613,9.539127,17.115086
2025-07-26 00:00:00,11.500000000000002,76.6999999999999,17.285797,16.133453,92.94509,9.29418,10.398954
2025-07-26 00:00:00,11.500000000000002,76.7999999999999,17.317047,16.1315,92.75017,8.163523,6.012261
2025-07-26 00:00:00,11.500000000000002,76.89999999999989,19.008453,18.002594,93.89557,5.408124,8.336872
2025-07-26 00:00:00,11.500000000000002,77.0,20.901031,20.07486,95.03172,2.9081569,9.697378
2025-07-26 00:00:00,11.400000000000002,75.69999999999996,24.584625,23.69986,94.829384,16.974283,42.352287
2025-07-26 00:00:00,11.400000000000002,75.79999999999995,24.617828,23.88736,95.71492,13.285064,43.92129
2025-07-26 00:00:00,11.400000000000002,75.89999999999995,24.426422,23.889313,96.828804,9.164028,45.731457
2025-07-26 00:00:00,11.400000000000002,75.99999999999994,22.842438,22.434235,97.553185,6.8947053,44.115902
2025-07-26 00:00:00,11.400000000000002,76.09999999999994,20.791656,20.518219,98.32964,4.8950877,42.21624
2025-07-26 00:00:00,11.400000000000002,76.19999999999993,21.190094,21.09439,99.41432,4.4798503,40.762543
2025-07-26 00:00:00,11.400000000000002,76.29999999999993,22.729156,22.660797,99.5862,4.6538224,35.978615
2025-07-26 00:00:00,11.400000000000002,76.39999999999992,21.223297,21.110016,99.30725,5.6590247,30.425728
2025-07-26 00:00:00,11.400000000000002,76.49999999999991,16.822906,16.526031,98.13232,7.1001153,25.80586
2025-07-26 00:00:00,11.400000000000002,76.59999999999991,14.246735,13.781891,97.031494,7.033191,18.73523
2025-07-26 00:00:00,11.400000000000002,76.6999999999999,14.332672,13.770172,96.42016,6.6609416,10.8498335
2025-07-26 00:00:00,11.400000000000002,76.7999999999999,15.615875,15.0104065,96.18882,5.793971,5.855054
2025-07-26 00:00:00,11.400000000000002,76.89999999999989,18.37564,17.98111,97.55368,2.8960292,8.8710785
