latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
66.57679,155.33305,340.52,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.66,24.86,D
66.57725,155.31248,355.92,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,310.84,56.08,D
66.57777,155.3186,355.02,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,309.27,24.86,D
66.57833,155.29846,337.64,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,300.26,24.95,D
66.57958,155.32022,346.64,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,315.49,56.08,D
66.58012,155.32648,346.31,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,314.18,24.86,D
66.58296,155.31381,354.95,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,315.64,56.08,D
66.58404,155.29979,332.94,0.43,0.46,2025-07-31,35,N20,VIIRS,l,2.0NRT,306.89,61.69,D
66.58528,155.32152,367.0,0.43,0.46,2025-07-31,35,N20,VIIRS,h,2.0NRT,334.29,132.4,D
66.58635,155.30748,351.74,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,320.86,61.69,D
66.58742,155.29338,328.51,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,295.44,61.69,D
66.58762,155.3293,333.97,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.24,132.4,D
66.58867,155.31516,367.0,0.43,0.46,2025-07-31,35,N20,VIIRS,h,2.0NRT,333.07,277.27,D
66.59099,155.32286,346.91,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,317.25,277.27,D
66.59313,155.29474,340.67,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,294.45,5.36,D
66.59439,155.31653,367.0,0.43,0.46,2025-07-31,35,N20,VIIRS,h,2.0NRT,342.91,277.27,D
66.59653,155.28842,332.93,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,294.42,5.36,D
